"","id","idU","idf"
"274",274,757,377
"275",275,97,290
"276",276,49,439
"277",277,490,943
"278",278,462,332
"279",279,223,620
"280",280,405,703
"281",281,456,882
"282",282,415,449
"283",283,519,719
"284",284,793,660
"285",285,362,667
"286",286,675,265
"287",287,984,384
"288",288,200,99
"289",289,113,98
"290",290,213,233
"291",291,63,154
"292",292,212,969
"293",293,835,834
"294",294,501,563
"295",295,867,566
"296",296,303,673
"297",297,939,657
"298",298,444,724
"299",299,798,188
"300",300,837,44
"301",301,284,916
"302",302,731,504
"303",303,506,209
"304",304,409,448
"305",305,724,470
"306",306,139,788
"307",307,470,57
"308",308,489,786
"309",309,965,63
"310",310,429,794
"311",311,739,142
"312",312,727,43
"313",313,836,945
"314",314,957,321
"315",315,659,698
"316",316,568,314
"317",317,698,42
"318",318,736,545
"319",319,782,351
"320",320,185,534
"321",321,547,310
"322",322,637,777
"323",323,464,779
"324",324,357,203
"325",325,596,842
"326",326,685,398
"327",327,668,32
"328",328,399,24
"329",329,99,963
"330",330,83,750
"331",331,567,656
"332",332,555,677
"333",333,95,463
"334",334,207,816
"335",335,286,792
"336",336,822,870
"337",337,878,589
"338",338,35,429
"339",339,773,602
"340",340,844,706
"341",341,51,694
"342",342,230,956
"343",343,723,10
"344",344,272,693
"345",345,862,295
"346",346,954,688
"347",347,593,412
"348",348,737,689
"349",349,765,370
"350",350,451,642
"351",351,413,462
"352",352,329,256
"353",353,400,366
"354",354,790,270
"355",355,493,246
"356",356,453,380
"357",357,118,378
"358",358,827,957
"359",359,242,730
"360",360,855,330
"361",361,366,548
"362",362,315,975
"363",363,486,947
"364",364,556,174
"365",365,432,353
"366",366,682,849
"367",367,275,267
"368",368,79,296
"369",369,875,501
"370",370,744,4
"371",371,381,496
"372",372,146,821
"373",373,498,77
"374",374,234,281
"375",375,262,190
"376",376,354,245
"377",377,196,873
"378",378,283,791
"379",379,222,12
"380",380,760,62
"381",381,777,172
"382",382,563,781
"383",383,761,929
"384",384,511,829
"385",385,991,549
"386",386,80,622
"387",387,578,492
"388",388,450,53
"389",389,726,291
"390",390,346,554
"391",391,869,397
"392",392,865,363
"393",393,949,856
"394",394,445,637
"395",395,482,161
"396",396,189,749
"397",397,384,466
"398",398,693,731
"399",399,253,61
"400",400,254,898
"401",401,655,524
"402",402,645,616
"403",403,833,222
"404",404,477,211
"405",405,796,282
"406",406,961,886
"407",407,894,631
"408",408,932,683
"409",409,672,509
"410",410,323,474
"411",411,209,695
"412",412,129,392
"413",413,4,581
"414",414,269,95
"415",415,496,528
"416",416,888,555
"417",417,992,198
"418",418,512,307
"419",419,76,932
"420",420,612,287
"421",421,440,89
"422",422,370,224
"423",423,47,557
"424",424,359,6
"425",425,247,911
"426",426,408,54
"427",427,570,402
"428",428,705,901
"429",429,343,184
"430",430,906,50
"431",431,55,850
"432",432,586,143
"433",433,124,451
"434",434,341,469
"435",435,616,742
"436",436,90,278
"437",437,427,697
"438",438,344,848
"439",439,735,567
"440",440,576,33
"441",441,613,137
"442",442,713,130
"443",443,692,247
"444",444,712,633
"445",445,407,313
"446",446,28,934
"447",447,966,556
"448",448,606,472
"449",449,245,277
"450",450,599,187
"451",451,237,714
"452",452,159,605
"453",453,546,255
"454",454,851,144
"455",455,299,272
"456",456,364,306
"457",457,123,933
"458",458,143,923
"459",459,849,390
"460",460,751,627
"461",461,331,516
"462",462,88,452
"463",463,542,488
"464",464,988,818
"465",465,970,645
"466",466,165,467
"467",467,559,122
"468",468,463,393
"469",469,734,635
"470",470,138,176
"471",471,5,206
"472",472,48,162
"473",473,488,661
"474",474,936,914
"475",475,910,485
"476",476,107,748
"477",477,214,215
"478",478,708,158
"479",479,795,345
"480",480,438,542
"481",481,670,508
"482",482,830,780
"483",483,392,999
"484",484,257,822
"485",485,846,782
"486",486,172,980
"487",487,347,614
"488",488,270,670
"489",489,801,722
"490",490,780,720
"491",491,857,500
"492",492,589,128
"493",493,916,666
"494",494,890,671
"495",495,976,946
"496",496,11,596
"497",497,86,878
"498",498,580,955
"499",499,631,551
"500",500,883,859
"501",501,591,145
"502",502,103,71
"503",503,754,171
"504",504,917,868
"505",505,87,757
"506",506,545,523
"507",507,528,119
"508",508,174,442
"509",509,388,888
"510",510,74,360
"511",511,696,991
"512",512,105,47
"513",513,815,121
"514",514,338,674
"515",515,648,386
"516",516,280,560
"517",517,647,132
"518",518,622,798
"519",519,813,825
"520",520,828,343
"521",521,968,423
"522",522,130,686
"523",523,750,893
"524",524,664,205
"525",525,430,726
"526",526,472,985
"527",527,37,814
"528",528,902,195
"529",529,929,997
"530",530,619,76
"531",531,302,107
"532",532,68,532
"533",533,202,752
"534",534,716,930
"535",535,287,268
"536",536,100,271
"537",537,975,865
"538",538,577,87
"539",539,56,712
"540",540,756,905
"541",541,375,770
"542",542,680,214
"543",543,882,362
"544",544,36,505
"545",545,543,236
"546",546,13,967
"547",547,646,381
"548",548,96,830
"549",549,428,739
"550",550,67,877
"551",551,887,663
"552",552,786,665
"553",553,227,15
"554",554,891,659
"555",555,318,426
"556",556,39,937
"557",557,510,23
"558",558,921,925
"559",559,112,610
"560",560,466,58
"561",561,316,460
"562",562,59,569
"563",563,956,441
"564",564,179,173
"565",565,361,416
"566",566,377,225
"567",567,775,502
"568",568,26,276
"569",569,730,920
"570",570,191,972
"571",571,137,650
"572",572,981,471
"573",573,911,765
"574",574,134,18
"575",575,271,199
"576",576,633,813
"577",577,204,414
"578",578,950,65
"579",579,431,163
"580",580,826,883
"581",581,764,927
"582",582,32,104
"583",583,468,19
"584",584,628,375
"585",585,250,115
"586",586,423,846
"587",587,538,692
"588",588,197,952
"589",589,766,951
"590",590,725,169
"591",591,235,852
"592",592,663,741
"593",593,160,593
"594",594,309,579
"595",595,149,507
"596",596,116,805
"597",597,457,857
"598",598,785,558
"599",599,229,9
"600",600,745,639
"601",601,847,855
"602",602,173,319
"603",603,930,875
"604",604,446,820
"605",605,573,304
"606",606,494,194
"607",607,987,153
"608",608,44,111
"609",609,840,127
"610",610,610,619
"611",611,411,833
"612",612,282,258
"613",613,624,490
"614",614,91,668
"615",615,188,881
"616",616,853,68
"617",617,581,648
"618",618,783,261
"619",619,748,990
"620",620,394,940
"621",621,614,513
"622",622,21,218
"623",623,34,867
"624",624,252,150
"625",625,741,541
"626",626,874,424
"627",627,776,710
"628",628,439,992
"629",629,627,181
"630",630,379,399
"631",631,308,419
"632",632,901,715
"633",633,762,998
"634",634,697,690
"635",635,804,361
"636",636,934,638
"637",637,549,591
"638",638,967,727
"639",639,248,747
"640",640,654,66
"641",641,805,167
"642",642,516,503
"643",643,389,134
"644",644,387,580
"645",645,595,38
"646",646,683,696
"647",647,979,641
"648",648,296,553
"649",649,201,652
"650",650,658,626
"651",651,291,968
"652",652,101,647
"653",653,380,1000
"654",654,825,259
"655",655,896,766
"656",656,584,608
"657",657,471,476
"658",658,676,738
"659",659,239,436
"660",660,224,340
"661",661,945,118
"662",662,959,772
"663",663,365,445
"664",664,794,790
"665",665,203,350
"666",666,140,308
"667",667,753,917
"668",668,789,768
"669",669,475,300
"670",670,747,459
"671",671,652,775
"672",672,42,283
"673",673,6,280
"674",674,382,200
"675",675,729,84
"676",676,905,959
"677",677,166,575
"678",678,771,536
"679",679,265,446
"680",680,673,379
"681",681,147,874
"682",682,258,285
"683",683,311,395
"684",684,964,365
"685",685,7,978
"686",686,881,734
"687",687,161,339
"688",688,487,819
"689",689,483,371
"690",690,717,297
"691",691,582,147
"692",692,339,1
"693",693,50,796
"694",694,210,183
"695",695,604,721
"696",696,306,590
"697",697,221,784
"698",698,587,324
"699",699,266,806
"700",700,520,444
"701",701,820,974
"702",702,145,530
"703",703,314,101
"704",704,109,70
"705",705,190,408
"706",706,946,81
"707",707,319,333
"708",708,288,8
"709",709,233,17
"710",710,686,899
"711",711,469,595
"712",712,164,743
"713",713,944,801
"714",714,715,404
"715",715,536,372
"716",716,517,520
"717",717,374,217
"718",718,194,477
"719",719,699,400
"720",720,597,702
"721",721,808,116
"722",722,10,207
"723",723,572,35
"724",724,962,606
"725",725,900,216
"726",726,14,241
"727",727,507,3
"728",728,217,192
"729",729,416,578
"730",730,226,498
"731",731,537,776
"732",732,398,522
"733",733,135,938
"734",734,454,799
"735",735,157,751
"736",736,818,22
"737",737,700,48
"738",738,942,753
"739",739,923,85
"740",740,243,617
"741",741,740,178
"742",742,530,876
"743",743,367,574
"744",744,386,621
"745",745,743,166
"746",746,960,909
"747",747,144,112
"748",748,484,103
"749",749,877,219
"750",750,518,949
"751",751,781,789
"752",752,641,298
"753",753,459,478
"754",754,811,979
"755",755,702,208
"756",756,993,565
"757",757,27,982
"758",758,133,456
"759",759,579,618
"760",760,276,409
"761",761,168,809
"762",762,666,588
"763",763,904,678
"764",764,714,257
"765",765,277,29
"766",766,360,373
"767",767,15,355
"768",768,574,230
"769",769,81,197
"770",770,677,64
"771",771,60,571
"772",772,326,570
"773",773,448,755
"774",774,746,871
"775",775,919,286
"776",776,171,212
"777",777,9,117
"778",778,40,640
"779",779,710,735
"780",780,340,826
"781",781,441,457
"782",782,111,108
"783",783,615,5
"784",784,71,156
"785",785,334,284
"786",786,373,535
"787",787,996,189
"788",788,526,148
"789",789,342,49
"790",790,304,941
"791",791,192,113
"792",792,539,302
"793",793,390,612
"794",794,524,718
"795",795,821,603
"796",796,94,421
"797",797,842,45
"798",798,294,391
"799",799,669,993
"800",800,251,94
"801",801,122,843
"802",802,990,601
"803",803,52,897
"804",804,193,922
"805",805,104,79
"806",806,800,862
"807",807,935,587
"808",808,292,599
"809",809,973,13
"810",810,297,493
"811",811,497,140
"812",812,621,824
"813",813,529,625
"814",814,893,484
"815",815,198,944
"816",816,980,858
"817",817,618,521
"818",818,350,182
"819",819,694,948
"820",820,832,305
"821",821,351,191
"822",822,136,609
"823",823,769,415
"824",824,465,958
"825",825,162,149
"826",826,515,552
"827",827,20,175
"828",828,328,237
"829",829,908,92
"830",830,219,431
"831",831,425,164
"832",832,829,561
"833",833,478,684
"834",834,73,582
"835",835,834,56
"836",836,72,336
"837",837,649,866
"838",838,268,583
"839",839,206,88
"840",840,972,251
"841",841,644,853
"842",842,551,889
"843",843,46,797
"844",844,903,342
"845",845,656,497
"846",846,474,653
"847",847,565,356
"848",848,858,913
"849",849,25,322
"850",850,120,443
"851",851,279,468
"852",852,552,239
"853",853,290,14
"854",854,30,926
"855",855,345,338
"856",856,205,274
"857",857,19,120
"858",858,920,110
"859",859,177,559
"860",860,353,795
"861",861,651,895
"862",862,561,839
"863",863,678,804
"864",864,620,264
"865",865,395,655
"866",866,29,615
"867",867,629,473
"868",868,583,717
"869",869,809,347
"870",870,92,228
"871",871,925,141
"872",872,608,543
"873",873,324,27
"874",874,937,40
"875",875,65,403
"876",876,505,227
"877",877,924,138
"878",878,850,248
"879",879,778,518
"880",880,732,906
"881",881,571,879
"882",882,460,994
"883",883,661,185
"884",884,273,210
"885",885,958,962
"886",886,348,600
"887",887,810,704
"888",888,183,844
"889",889,1000,78
"890",890,313,729
"891",891,770,220
"892",892,598,51
"893",893,839,135
"894",894,434,417
"895",895,281,594
"896",896,31,114
"897",897,636,479
"898",898,369,151
"899",899,541,139
"900",900,690,954
"901",901,458,186
"902",902,876,687
"903",903,749,329
"904",904,142,437
"905",905,263,405
"906",906,260,368
"907",907,643,335
"908",908,601,311
"909",909,557,39
"910",910,249,293
"911",911,994,30
"912",912,127,983
"913",913,802,900
"914",914,806,654
"915",915,803,74
"916",916,554,981
"917",917,514,234
"918",918,871,651
"919",919,998,177
"920",920,216,915
"921",921,797,46
"922",922,178,243
"923",923,860,740
"924",924,816,354
"925",925,278,266
"926",926,569,711
"927",927,317,432
"928",928,767,672
"929",929,41,539
"930",930,378,592
"931",931,859,401
"932",932,611,971
"933",933,310,60
"934",934,879,440
"935",935,267,105
"936",936,974,713
"937",937,349,323
"938",938,863,890
"939",939,889,252
"940",940,870,133
"941",941,638,320
"942",942,926,586
"943",943,812,828
"944",944,707,884
"945",945,623,487
"946",946,899,180
"947",947,289,774
"948",948,873,36
"949",949,868,699
"950",950,397,568
"951",951,971,517
"952",952,521,887
"953",953,558,896
"954",954,667,863
"955",955,102,744
"956",956,406,26
"957",957,114,851
"958",958,590,341
"959",959,152,318
"960",960,1,771
"961",961,999,11
"962",962,403,598
"963",963,16,410
"964",964,298,847
"965",965,534,146
"966",966,330,482
"967",967,525,607
"968",968,609,316
"969",969,955,382
"970",970,404,418
"971",971,452,327
"972",972,285,337
"973",973,22,475
"974",974,336,348
"975",975,532,845
"976",976,167,632
"977",977,540,75
"978",978,607,725
"979",979,854,996
"980",980,24,903
"981",981,918,838
"982",982,544,453
"983",983,585,761
"984",984,928,155
"985",985,938,260
"986",986,33,808
"987",987,635,807
"988",988,169,21
"989",989,417,950
"990",990,126,242
"991",991,772,279
"992",992,156,669
"993",993,533,129
"994",994,791,649
"995",995,989,34
"996",996,215,912
"997",997,447,643
"998",998,443,510
"999",999,12,73
"1000",1000,884,396
"1001",1001,758,540
"1002",1002,274,269
"1003",1003,18,221
"1004",1004,69,315
"1005",1005,259,831
"1006",1006,763,793
"1007",1007,199,235
"1008",1008,933,420
"1009",1009,841,413
"1010",1010,368,585
"1011",1011,721,815
"1012",1012,814,708
"1013",1013,784,82
"1014",1014,17,512
"1015",1015,626,96
"1016",1016,594,836
"1017",1017,176,716
"1018",1018,154,240
"1019",1019,64,86
"1020",1020,941,435
"1021",1021,211,662
"1022",1022,371,159
"1023",1023,553,970
"1024",1024,495,427
"1025",1025,2,928
"1026",1026,535,644
"1027",1027,383,783
"1028",1028,66,387
"1029",1029,852,489
"1030",1030,951,72
"1031",1031,502,894
"1032",1032,774,908
"1033",1033,426,767
"1034",1034,720,597
"1035",1035,98,564
"1036",1036,256,288
"1037",1037,455,778
"1038",1038,886,682
"1039",1039,625,263
"1040",1040,184,407
"1041",1041,768,254
"1042",1042,3,973
"1043",1043,509,705
"1044",1044,709,37
"1045",1045,182,832
"1046",1046,393,823
"1047",1047,718,624
"1048",1048,208,763
"1049",1049,53,406
"1050",1050,418,244
"1051",1051,562,231
"1052",1052,733,125
"1053",1053,467,977
"1054",1054,799,499
"1055",1055,141,546
"1056",1056,679,16
"1057",1057,442,919
"1058",1058,255,762
"1059",1059,508,787
"1060",1060,332,126
"1061",1061,128,59
"1062",1062,915,213
"1063",1063,588,965
"1064",1064,372,83
"1065",1065,940,31
"1066",1066,817,7
"1067",1067,132,481
"1068",1068,422,746
"1069",1069,153,325
"1070",1070,89,764
"1071",1071,312,438
"1072",1072,84,179
"1073",1073,115,344
"1074",1074,560,936
"1075",1075,788,623
"1076",1076,158,331
"1077",1077,897,317
"1078",1078,376,533
"1079",1079,419,891
"1080",1080,187,701
"1081",1081,420,613
"1082",1082,665,769
"1083",1083,983,124
"1084",1084,305,800
"1085",1085,23,238
"1086",1086,531,511
"1087",1087,922,20
"1088",1088,688,458
"1089",1089,155,864
"1090",1090,461,364
"1091",1091,125,628
"1092",1092,75,97
"1093",1093,61,52
"1094",1094,602,531
"1095",1095,513,544
"1096",1096,843,737
"1097",1097,885,301
"1098",1098,687,754
"1099",1099,240,924
"1100",1100,117,604
"1101",1101,295,676
"1102",1102,476,90
"1103",1103,792,349
"1104",1104,499,28
"1105",1105,261,328
"1106",1106,722,658
"1107",1107,703,902
"1108",1108,600,976
"1109",1109,943,785
"1110",1110,848,664
"1111",1111,752,309
"1112",1112,481,273
"1113",1113,325,802
"1114",1114,575,636
"1115",1115,225,41
"1116",1116,485,931
"1117",1117,640,294
"1118",1118,997,369
"1119",1119,548,854
"1120",1120,151,506
"1121",1121,864,480
"1122",1122,691,910
"1123",1123,293,136
"1124",1124,108,454
"1125",1125,617,942
"1126",1126,898,312
"1127",1127,241,681
"1128",1128,264,346
"1129",1129,861,170
"1130",1130,307,773
"1131",1131,872,527
"1132",1132,119,953
"1133",1133,662,841
"1134",1134,385,519
"1135",1135,912,100
"1136",1136,738,455
"1137",1137,824,547
"1138",1138,728,357
"1139",1139,62,986
"1140",1140,110,428
"1141",1141,500,55
"1142",1142,779,907
"1143",1143,436,376
"1144",1144,231,550
"1145",1145,523,494
"1146",1146,787,732
"1147",1147,755,109
"1148",1148,363,756
"1149",1149,978,629
"1150",1150,473,745
"1151",1151,38,995
"1152",1152,985,152
"1153",1153,414,157
"1154",1154,895,394
"1155",1155,639,275
"1156",1156,396,872
"1157",1157,550,984
"1158",1158,634,486
"1159",1159,503,961
"1160",1160,742,921
"1161",1161,674,691
"1162",1162,186,253
"1163",1163,963,646
"1164",1164,45,334
"1165",1165,681,193
"1166",1166,913,880
"1167",1167,492,383
"1168",1168,711,464
"1169",1169,684,817
"1170",1170,180,987
"1171",1171,907,80
"1172",1172,504,388
"1173",1173,866,385
"1174",1174,402,529
"1175",1175,759,577
"1176",1176,43,538
"1177",1177,630,572
"1178",1178,391,810
"1179",1179,355,892
"1180",1180,642,904
"1181",1181,8,576
"1182",1182,220,374
"1183",1183,327,827
"1184",1184,914,359
"1185",1185,479,201
"1186",1186,566,358
"1187",1187,424,526
"1188",1188,352,964
"1189",1189,421,675
"1190",1190,437,67
"1191",1191,491,861
"1192",1192,522,232
"1193",1193,605,537
"1194",1194,706,835
"1195",1195,70,491
"1196",1196,401,723
"1197",1197,356,514
"1198",1198,845,434
"1199",1199,807,860
"1200",1200,195,229
"1201",1201,228,709
"1202",1202,321,918
"1203",1203,480,422
"1204",1204,819,106
"1205",1205,449,389
"1206",1206,969,685
"1207",1207,320,840
"1208",1208,704,204
"1209",1209,927,939
"1210",1210,77,465
"1211",1211,657,515
"1212",1212,150,262
"1213",1213,82,935
"1214",1214,78,573
"1215",1215,931,803
"1216",1216,358,352
"1217",1217,892,123
"1218",1218,163,102
"1219",1219,148,700
"1220",1220,995,367
"1221",1221,948,425
"1222",1222,218,679
"1223",1223,54,165
"1224",1224,632,196
"1225",1225,301,202
"1226",1226,831,680
"1227",1227,880,758
"1228",1228,650,430
"1229",1229,701,292
"1230",1230,719,461
"1231",1231,977,811
"1232",1232,181,960
"1233",1233,982,611
"1234",1234,838,326
"1235",1235,909,495
"1236",1236,322,433
"1237",1237,689,131
"1238",1238,106,450
"1239",1239,300,303
"1240",1240,592,483
"1241",1241,953,525
"1242",1242,246,2
"1243",1243,131,736
"1244",1244,335,760
"1245",1245,671,989
"1246",1246,823,885
"1247",1247,121,988
"1248",1248,244,299
"1249",1249,57,160
"1250",1250,232,966
"1251",1251,85,249
"1252",1252,175,168
"1253",1253,603,869
"1254",1254,58,584
"1255",1255,653,733
"1256",1256,410,707
"1257",1257,333,289
"1258",1258,695,447
"1259",1259,660,69
"1260",1260,93,759
"1261",1261,337,562
"1262",1262,236,250
"1263",1263,856,226
"1264",1264,986,634
"1265",1265,952,25
"1266",1266,238,837
"1267",1267,433,728
"1268",1268,947,630
"1269",1269,564,91
"1270",1270,412,93
"1271",1271,527,411
"1272",1272,435,812
"1273",1273,170,223
"1274",1274,757,377
"1275",1275,97,290
"1276",1276,49,439
"1277",1277,490,943
"1278",1278,462,332
"1279",1279,223,620
"1280",1280,405,703
"1281",1281,456,882
"1282",1282,415,449
"1283",1283,519,719
"1284",1284,793,660
"1285",1285,362,667
"1286",1286,675,265
"1287",1287,984,384
"1288",1288,200,99
"1289",1289,113,98
"1290",1290,213,233
"1291",1291,63,154
"1292",1292,212,969
"1293",1293,835,834
"1294",1294,501,563
"1295",1295,867,566
"1296",1296,303,673
"1297",1297,939,657
"1298",1298,444,724
"1299",1299,798,188
"1300",1300,837,44
"1301",1301,284,916
"1302",1302,731,504
"1303",1303,506,209
"1304",1304,409,448
"1305",1305,724,470
"1306",1306,139,788
"1307",1307,470,57
"1308",1308,489,786
"1309",1309,965,63
"1310",1310,429,794
"1311",1311,739,142
"1312",1312,727,43
"1313",1313,836,945
"1314",1314,957,321
"1315",1315,659,698
"1316",1316,568,314
"1317",1317,698,42
"1318",1318,736,545
"1319",1319,782,351
"1320",1320,185,534
"1321",1321,547,310
"1322",1322,637,777
"1323",1323,464,779
"1324",1324,357,203
"1325",1325,596,842
"1326",1326,685,398
"1327",1327,668,32
"1328",1328,399,24
"1329",1329,99,963
"1330",1330,83,750
"1331",1331,567,656
"1332",1332,555,677
"1333",1333,95,463
"1334",1334,207,816
"1335",1335,286,792
"1336",1336,822,870
"1337",1337,878,589
"1338",1338,35,429
"1339",1339,773,602
"1340",1340,844,706
"1341",1341,51,694
"1342",1342,230,956
"1343",1343,723,10
"1344",1344,272,693
"1345",1345,862,295
"1346",1346,954,688
"1347",1347,593,412
"1348",1348,737,689
"1349",1349,765,370
"1350",1350,451,642
"1351",1351,413,462
"1352",1352,329,256
"1353",1353,400,366
"1354",1354,790,270
"1355",1355,493,246
"1356",1356,453,380
"1357",1357,118,378
"1358",1358,827,957
"1359",1359,242,730
"1360",1360,855,330
"1361",1361,366,548
"1362",1362,315,975
"1363",1363,486,947
"1364",1364,556,174
"1365",1365,432,353
"1366",1366,682,849
"1367",1367,275,267
"1368",1368,79,296
"1369",1369,875,501
"1370",1370,744,4
"1371",1371,381,496
"1372",1372,146,821
"1373",1373,498,77
"1374",1374,234,281
"1375",1375,262,190
"1376",1376,354,245
"1377",1377,196,873
"1378",1378,283,791
"1379",1379,222,12
"1380",1380,760,62
"1381",1381,777,172
"1382",1382,563,781
"1383",1383,761,929
"1384",1384,511,829
"1385",1385,991,549
"1386",1386,80,622
"1387",1387,578,492
"1388",1388,450,53
"1389",1389,726,291
"1390",1390,346,554
"1391",1391,869,397
"1392",1392,865,363
"1393",1393,949,856
"1394",1394,445,637
"1395",1395,482,161
"1396",1396,189,749
"1397",1397,384,466
"1398",1398,693,731
"1399",1399,253,61
"1400",1400,254,898
"1401",1401,655,524
"1402",1402,645,616
"1403",1403,833,222
"1404",1404,477,211
"1405",1405,796,282
"1406",1406,961,886
"1407",1407,894,631
"1408",1408,932,683
"1409",1409,672,509
"1410",1410,323,474
"1411",1411,209,695
"1412",1412,129,392
"1413",1413,4,581
"1414",1414,269,95
"1415",1415,496,528
"1416",1416,888,555
"1417",1417,992,198
"1418",1418,512,307
"1419",1419,76,932
"1420",1420,612,287
"1421",1421,440,89
"1422",1422,370,224
"1423",1423,47,557
"1424",1424,359,6
"1425",1425,247,911
"1426",1426,408,54
"1427",1427,570,402
"1428",1428,705,901
"1429",1429,343,184
"1430",1430,906,50
"1431",1431,55,850
"1432",1432,586,143
"1433",1433,124,451
"1434",1434,341,469
"1435",1435,616,742
"1436",1436,90,278
"1437",1437,427,697
"1438",1438,344,848
"1439",1439,735,567
"1440",1440,576,33
"1441",1441,613,137
"1442",1442,713,130
"1443",1443,692,247
"1444",1444,712,633
"1445",1445,407,313
"1446",1446,28,934
"1447",1447,966,556
"1448",1448,606,472
"1449",1449,245,277
"1450",1450,599,187
"1451",1451,237,714
"1452",1452,159,605
